id,name,capital,continent,currency
133,Palau,Melekeok,Oceania,U.S. dollar
134,Palestine,Ramallah,Asia,Palestine Pound
135,Panama,Panama City,North America,Balboa; U.S. dollar
136,Papua New Guinea,Port Moresby ,Oceania,Kina
137,Paraguay,Asuncion,South America,Guaraní
138,Peru,Lima,South America,Nuevo sol
139,Philippines,Manila,Asia,Peso
140,Poland,Warsaw,Europe,Zloty
141,Portugal,Lisbon,Europe/ Asia,Euro
142,Qatar,Doha,Asia,Qatari riyal
143,Romania,Bucharest,Europe,Romanian Rupee
144,Russia,Moscow,Europe/ Asia,Ruble
145,Rwanda,Kigali,Africa,Rwandan franc
146,Saint Kitts and Nevis,Basseterre,North America,East Caribbean dollar
147,Saint Lucia,Castries,North America,East Caribbean dollar
148,Saint Vincent and the Grenadines,Kingstown ,North America,East Caribbean dollar
149,Samoa,Apia,Oceania,Tala
150,San Marino,San Marino,Europe,Euro
151,Sao Tome and Principe,Sao Tome,Africa,Dobra
152,Saudi Arabia,Riyadh,Asia,Riyal
153,Senegal,Dakar,Africa,CFA Franc
154,Serbia,Belgrade,Europe,Serbian Dinar
155,Seychelles,Victoria,Africa,Seychelles rupee
156,Sierra Leone,Freetown,Africa,Leone
157,Singapore,Singapore,Asia,Singapore dollar
158,Slovakia,Bratislava,Europe,Euro
159,Slovenia,Ljubljana,Europe,Slovenian tolar; Euro
160,Solomon Islands,Honiara,Oceania,Solomon Islands dollar
161,Somalia,Mogadishu,Africa,Somali shilling
162,South Africa,Cape Town,Africa,Rand
163,South Sudan,Juba,Africa,Sudanese Pound
164,Spain,Madrid,Europe/ Africa,Euro
165,Sri Lanka,Sri Jayewardenepura Kotte,Asia,Sri Lankan rupee
166,Sudan,Khartoum,Africa,Sudanese Pound
167,Suriname,Paramaribo,South America,Surinamese dollar
168,Swaziland,Mbabane,Africa,Lilangeni
169,Sweden,Stockholm,Europe,Krona
170,Switzerland,Berne,Europe,Swiss franc
171,Syria,Damascus,Asia,Syrian pound
172,Taiwan,Taipei,Asia,Taiwan dollar
173,Tajikistan,Dushanbe,Asia,somoni
174,Tanzania,Dodoma,Africa,Tanzanian shilling
175,Thailand,Bangkok,Asia,Baht
176,Togo,Lome,Africa,CFA Franc
177,Tonga,Nuku’alofa,Oceania,Pa’anga
178,Trinidad and Tobago,Port-of-Spain,South America,Trinidad and Tobago dollar
